wazuh.indexer-1  | [2026-05-05T12:30:06,868][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[wazuh-statistics-2026.19w/xJlcwXS7RRSJ5s3NqX-pjQ]
wazuh.indexer-1  | [2026-05-05T12:30:06,976][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[validate-template-ogwl6zmesa60b3cftqk_eq/cHE_KPg5RHa_NEusmwIftg]
wazuh.indexer-1  | [2026-05-05T12:30:06,992][INFO ][o.o.c.m.MetadataIndexTemplateService] [wazuh.indexer] adding index template [wazuh-states-inventory-users-wazuh.manager_template] for index patterns [wazuh-states-inventory-users*]
wazuh.indexer-1  | [2026-05-05T12:30:07,270][INFO ][o.o.c.m.MetadataUpdateSettingsService] [wazuh.indexer] updating number_of_replicas to [0] for indices [wazuh-monitoring-2026.19w]
wazuh.indexer-1  | [2026-05-05T12:30:07,278][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[validate-template-hpmuykvlrfajy8-a0x-xug/iM8ZrXJpR6S4nw81rzuW_A]
wazuh.indexer-1  | [2026-05-05T12:30:07,331][INFO ][o.o.c.m.MetadataIndexTemplateService] [wazuh.indexer] adding index template [wazuh-states-inventory-groups-wazuh.manager_template] for index patterns [wazuh-states-inventory-groups*]
wazuh.indexer-1  | [2026-05-05T12:30:07,410][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[wazuh-states-inventory-processes-wazuh.manager/KbOKzSseQtuPgucPs1EQrQ]
wazuh.indexer-1  | [2026-05-05T12:30:07,428][INFO ][o.o.c.m.MetadataCreateIndexService] [wazuh.indexer] [wazuh-states-inventory-processes-wazuh.manager] creating index, cause [api], templates [wazuh-states-inventory-processes-wazuh.manager_template], shards [1]/[0]
wazuh.indexer-1  | [2026-05-05T12:30:07,629][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[wazuh-states-inventory-ports-wazuh.manager/3H0OtWOBT9WjOpLJMYcK_w]
wazuh.indexer-1  | [2026-05-05T12:30:07,648][INFO ][o.o.c.m.MetadataCreateIndexService] [wazuh.indexer] [wazuh-states-inventory-ports-wazuh.manager] creating index, cause [api], templates [wazuh-states-inventory-ports-wazuh.manager_template], shards [1]/[0]
